data-ora,ip_src,ip_dst,tcp_src,tcp_dst,host
2024-09-13 10:55:09,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:09,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:09,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:09,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:09,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:10,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:10,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:10,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:10,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:10,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:11,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:11,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:11,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:11,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:11,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:12,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:12,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:12,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:12,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:12,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:12,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:13,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:13,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:13,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:14,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:14,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:14,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:14,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:15,192.168.174.64,20.111.1.3,37166,443,HTTPS
2024-09-13 10:55:15,20.111.1.3,192.168.174.64,443,37166,HTTPS
2024-09-13 10:55:15,192.168.174.64,20.111.1.3,37166,443,HTTPS
2024-09-13 10:55:16,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:16,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:16,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:16,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:16,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:16,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:16,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:16,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:16,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:16,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:16,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:16,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:16,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:16,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:16,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:16,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:16,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:16,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:18,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:18,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:18,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:18,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:18,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:18,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:18,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:18,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:18,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:18,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:18,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:18,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:18,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:18,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:18,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:20,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:20,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:20,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:20,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:20,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:20,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:20,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:20,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:20,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:22,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:22,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:22,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:22,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:22,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:22,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:22,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:22,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:22,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:22,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:22,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:24,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:24,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:24,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:24,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:24,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:24,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:24,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:24,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:24,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:26,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:26,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:26,192.168.174.64,20.42.73.26,49162,443,HTTPS
2024-09-13 10:55:26,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:26,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:26,20.42.73.26,192.168.174.64,443,49162,HTTPS
2024-09-13 10:55:26,192.168.174.64,20.42.73.26,49162,443,HTTPS
